Tile_1: 
λ(nm)	T
289.322	0.986287
279.346	0.986285
269.371	0.986282
259.396	0.986279
249.418	0.986276
239.44	0.986271
229.465	0.986266
219.486	0.986259
209.51	0.986251
199.534	0.986241

Tile_6: 
λ(nm)	T
897.89	0.9812
887.901	0.9812
877.945	0.9812
867.966	0.9812
857.974	0.9812
848.034	0.9812
838.039	0.9812
828.054	0.9812
818.088	0.9812
808.095	0.9812
798.137	0.9812
788.171	0.9812
778.205	0.9812
768.202	0.9812
758.22	0.9812
748.269	0.9812
738.266	0.9812
728.313	0.9812
718.333	0.9812
708.338	0.9812
698.381	0.9812
688.394	0.9812
678.427	0.981199
668.457	0.981199
658.459	0.981199
648.484	0.981199
638.51	0.981199
628.518	0.981199
618.556	0.981199
608.576	0.981199
598.593	0.981199
588.625	0.981199
578.658	0.981199
568.683	0.981199
558.692	0.981199
548.73	0.981199
538.742	0.981199
528.771	0.981199
518.792	0.981198
508.807	0.981198
498.836	0.981198
488.861	0.981198
478.888	0.981198
468.905	0.981198
458.921	0.981197
448.945	0.981197
438.973	0.981197
429.002	0.981197
419.019	0.981196
409.044	0.981196
399.069	0.981196
389.09	0.981195
379.11	0.981195
369.133	0.981194
359.166	0.981193
349.181	0.981192
339.204	0.981192
329.229	0.98119
319.255	0.981189
309.278	0.981188
299.304	0.981186
289.322	0.981184
279.346	0.981182
269.371	0.981179
259.396	0.981175
249.418	0.981171
239.44	0.981166
229.465	0.98116
219.486	0.981152
209.51	0.981142
199.534	0.981129

Tile_7: 
λ(nm)	T
897.89	0.9737
887.901	0.9737
877.945	0.9737
867.966	0.9737
857.974	0.9737
848.034	0.9737
838.039	0.9737
828.054	0.9737
818.088	0.9737
808.095	0.9737
798.137	0.9737
788.171	0.9737
778.205	0.9737
768.202	0.9737
758.22	0.9737
748.269	0.9737
738.266	0.9737
728.313	0.9737
718.333	0.9737
708.338	0.9737
698.381	0.9737
688.394	0.9737
678.427	0.9737
668.457	0.9737
658.459	0.973699
648.484	0.973699
638.51	0.973699
628.518	0.973699
618.556	0.973699
608.576	0.973699
598.593	0.973699
588.625	0.973699
578.658	0.973699
568.683	0.973699
558.692	0.973699
548.73	0.973699
538.742	0.973699
528.771	0.973699
518.792	0.973699
508.807	0.973698
498.836	0.973698
488.861	0.973698
478.888	0.973698
468.905	0.973698
458.921	0.973698
448.945	0.973698
438.973	0.973697
429.002	0.973697
419.019	0.973697
409.044	0.973696
399.069	0.973696
389.09	0.973696
379.11	0.973695
369.133	0.973695
359.166	0.973694
